disease_domain,outcome_category,observed_endpoint_domain_records,expected_under_independence,within_domain_pct,standardized_residual,residual_flag
Mental illness,Mental Health Outcomes,13560,2136.321597,32.000755,247.156851,overrepresented
Neoplastic disease,Survival/Time-to-Event,20153,5208.581914,20.610554,207.070990,overrepresented
Infection,Immunogenicity,7592,1550.337594,13.970521,153.441669,overrepresented
Disorder of skin,Disease Activity Scores,3696,478.758316,20.134009,147.036624,overrepresented
Disorder of endocrine system,Biomarkers/Lab Values,17107,6264.518197,38.461711,136.988738,overrepresented
Infection,Microbiological/Virological,3618,518.456424,6.657711,136.126167,overrepresented
Situation with explicit context,Pharmacokinetics,8292,2137.221847,29.252805,133.133577,overrepresented
Neoplastic disease,Response Rates,15244,5930.254999,15.590100,120.944928,overrepresented
Disorder of immune function,Disease Activity Scores,3030,645.073170,12.250344,93.901076,overrepresented
Clinical finding,Symptoms/Pain,3482,817.849742,29.750513,93.158386,overrepresented
Neurological disorder,Functional Status,6191,2047.940824,14.776362,91.550861,overrepresented
Respiratory disease,Vital Signs/Physical Measures,4754,1585.304221,16.129470,79.583720,overrepresented
Disorder of eye,Functional Status,2691,756.698933,17.382598,70.317352,overrepresented
Disorder of digestive system,Remission/Cure,939,140.553745,3.987430,67.347965,overrepresented
Disorder of eye,Imaging Outcomes,1924,489.948156,12.428138,64.787286,overrepresented
Mental illness,Treatment Adherence,3238,1181.563757,7.641478,59.825546,overrepresented
Disorder of endocrine system,Vital Signs/Physical Measures,5146,2392.317335,11.569765,56.299495,overrepresented
Cardiovascular disease,Imaging Outcomes,2947,1126.080056,8.282510,54.263302,overrepresented
Sleep disorder,Quality of Life/PRO,1912,605.987707,31.734440,53.053661,overrepresented
Musculoskeletal disorder,Functional Status,2909,1143.186787,12.438002,52.225928,overrepresented
Cardiovascular disease,Mortality,1617,481.501543,4.544560,51.747301,overrepresented
Cardiovascular disease,Vital Signs/Physical Measures,4066,1913.778567,11.427447,49.197282,overrepresented
Neurological disorder,Symptoms/Pain,5506,2927.739961,13.141439,47.649733,overrepresented
Musculoskeletal disorder,Symptoms/Pain,3521,1634.301929,15.054729,46.669834,overrepresented
Neurological disorder,Mental Health Outcomes,4219,2112.323649,10.069693,45.837148,overrepresented
Infection,Adverse Events/Safety,11775,7778.684863,21.667924,45.311312,overrepresented
Neoplastic disease,Pharmacokinetics,11061,7372.382423,11.312129,42.959548,overrepresented
Cardiovascular disease,Biomarkers/Lab Values,8032,5011.417374,22.573846,42.668800,overrepresented
Disorder of haemostatic system,Immunogenicity,882,237.872677,10.578076,41.763746,overrepresented
Neoplastic disease,Dose-Finding,1143,361.445917,1.168951,41.109044,overrepresented
Mental illness,Quality of Life/PRO,6866,4261.929143,16.203332,39.888682,overrepresented
Disorder of haemostatic system,Adverse Events/Safety,2556,1193.505592,30.654833,39.438692,overrepresented
Disorder of skin,Response Rates,2283,1113.332901,12.436673,35.054982,overrepresented
Disorder of immune function,Remission/Cure,572,147.626495,2.312606,34.927388,overrepresented
Respiratory disease,Disease Control,1442,592.934323,4.892448,34.868879,overrepresented
