disease_domain,Adverse Events/Safety,Biomarkers/Lab Values,Quality of Life/PRO,Pharmacokinetics,Symptoms/Pain,Response Rates,Survival/Time-to-Event,Vital Signs/Physical Measures,Mental Health Outcomes,Functional Status,Imaging Outcomes,Disease Activity Scores,Immunogenicity,Treatment Adherence,Hospitalization/Healthcare Use,Disease Control,Mortality,Microbiological/Virological,Other Clinical Endpoints,Remission/Cure,Dose-Finding
Neoplastic disease,16791,7927,6277,11061,2269,15244,20153,1385,1195,1203,2331,386,1750,1541,1064,3374,1393,153,664,476,1143
Infection,11775,7986,2469,4997,1293,3070,1246,1454,835,393,408,393,7592,1740,2124,951,1113,3618,508,347,31
Disorder of endocrine system,4441,17107,3923,2336,1736,1342,530,5146,1248,1407,1115,343,275,1207,780,461,340,68,463,47,163
Mental illness,2193,3158,6866,1205,3472,1348,266,1893,13560,1826,730,512,26,3238,738,95,104,35,719,358,32
Neurological disorder,4706,3391,5518,1750,5506,1147,710,1755,4219,6191,1931,1446,642,970,762,380,401,58,273,60,82
Cardiovascular disease,6404,8032,2441,922,675,640,990,4066,669,1849,2947,267,65,902,1519,919,1617,35,549,22,51
Respiratory disease,3835,4033,2589,2076,2663,421,731,4754,310,1799,634,270,518,881,1523,1442,519,205,197,23,51
Situation with explicit context,3540,2790,3254,8292,1084,219,222,1466,1590,1251,456,142,1277,1109,738,171,131,225,368,8,13
Disorder of immune function,3546,3818,2396,1475,1136,2207,986,633,313,1098,733,3030,666,570,386,450,322,133,169,572,95
Disorder of digestive system,2971,4209,2078,1780,2742,1392,420,958,420,757,631,1295,495,435,773,592,218,196,208,939,40
Musculoskeletal disorder,2424,2430,3443,561,3521,1231,364,477,565,2909,1662,1375,698,505,583,235,80,25,147,114,39
Disorder of the genitourinary system,3015,3940,2943,1425,2645,932,648,1041,368,701,605,156,109,459,775,288,241,85,355,80,77
Disorder of skin,2136,1484,2743,801,2158,2283,240,559,235,208,327,3696,189,228,178,594,16,118,63,90,11
Disorder of eye,1670,954,2277,266,1682,523,196,1089,103,2691,1924,717,80,334,147,512,48,64,161,32,11
Blood disease,2141,2936,779,973,323,1143,1149,364,198,278,134,102,116,179,261,217,328,26,79,78,108
Clinical finding,1739,829,1466,377,3482,172,203,605,698,522,121,94,280,301,501,89,31,54,93,10,37
Procedure,2313,1055,1102,603,958,217,396,1140,400,579,359,95,34,302,809,120,196,116,229,22,49
Disorder of haemostatic system,2556,1075,500,896,162,231,167,235,63,203,201,98,882,171,269,185,213,56,114,37,24
Sleep disorder,368,401,1912,125,959,96,26,443,627,310,88,131,13,264,95,62,27,4,57,10,7
Injury,463,181,460,69,238,44,44,110,373,358,148,14,4,143,179,34,71,9,81,8,1
Disorder of ear,334,127,580,54,274,51,23,89,105,520,36,18,237,50,69,50,6,45,56,15,2
Disorder of labour / delivery,681,233,174,36,131,38,123,259,53,83,48,24,14,77,292,40,146,23,89,0,3
Congenital disease,246,776,111,242,58,47,59,117,38,172,159,20,59,8,26,24,18,2,4,1,4
Disorder of body system,101,228,185,22,77,23,24,169,129,143,46,23,1,46,58,13,21,5,15,3,2
