disease_domain,Adverse Events/Safety,Biomarkers/Lab Values,Quality of Life/PRO,Pharmacokinetics,Symptoms/Pain,Response Rates,Survival/Time-to-Event,Vital Signs/Physical Measures,Mental Health Outcomes,Functional Status,Imaging Outcomes,Disease Activity Scores,Immunogenicity,Treatment Adherence,Hospitalization/Healthcare Use,Disease Control,Mortality,Microbiological/Virological,Other Clinical Endpoints,Remission/Cure,Dose-Finding
Neoplastic disease,17.172223,8.106975,6.419513,11.312129,2.320515,15.590100,20.610554,1.416445,1.222131,1.230313,2.383923,0.394764,1.789732,1.575987,1.088157,3.450603,1.424627,0.156474,0.679075,0.486807,1.168951
Infection,21.667924,14.695545,4.543363,9.195297,2.379331,5.649302,2.292844,2.675598,1.536536,0.723184,0.750787,0.723184,13.970521,3.201884,3.908507,1.749995,2.048102,6.657711,0.934803,0.638537,0.057045
Disorder of endocrine system,9.984712,38.461711,8.820091,5.252035,3.903053,3.017222,1.191600,11.569765,2.805882,3.163362,2.506857,0.771168,0.618283,2.713701,1.753676,1.036467,0.764423,0.152885,1.040964,0.105670,0.366473
Mental illness,5.175343,7.452683,16.203332,2.843725,8.193704,3.181196,0.627743,4.467362,32.000755,4.309246,1.722755,1.208288,0.061358,7.641478,1.741634,0.224194,0.245434,0.082598,1.696795,0.844858,0.075518
Neurological disorder,11.232040,8.093465,13.170080,4.176810,13.141439,2.737601,1.694592,4.188744,10.069693,14.776362,4.608812,3.451239,1.532293,2.315146,1.818703,0.906965,0.957086,0.138431,0.651582,0.143205,0.195713
Cardiovascular disease,17.998370,22.573846,6.860403,2.591271,1.897080,1.798713,2.782384,11.427447,1.880217,5.196594,8.282510,0.750400,0.182682,2.535061,4.269132,2.582839,4.544560,0.098367,1.542958,0.061831,0.143335
Respiratory disease,13.011468,13.683246,8.784013,7.043496,9.035082,1.428378,2.480152,16.129470,1.051774,6.103685,2.151048,0.916062,1.757481,2.989075,5.167266,4.892448,1.760874,0.695528,0.668386,0.078035,0.173034
Situation with explicit context,12.488535,9.842659,11.479574,29.252805,3.824173,0.772596,0.783179,5.171806,5.609257,4.413321,1.608693,0.500953,4.505045,3.912369,2.603542,0.603260,0.462146,0.793763,1.298243,0.028223,0.045862
Disorder of immune function,14.336541,15.436242,9.687070,5.963451,4.592868,8.922940,3.986415,2.559230,1.265465,4.439233,2.963532,12.250344,2.692650,2.304520,1.560605,1.819358,1.301852,0.537721,0.683270,2.312606,0.384087
Disorder of digestive system,12.616247,17.873370,8.824154,7.558707,11.643807,5.911079,1.783515,4.068113,1.783515,3.214574,2.679519,5.499172,2.102000,1.847212,3.282517,2.513907,0.925729,0.832307,0.883265,3.987430,0.169859
Musculoskeletal disorder,10.364289,10.389944,14.721225,2.398666,15.054729,5.263383,1.556354,2.039507,2.415769,12.438002,7.106208,5.879083,2.984436,2.159227,2.492731,1.004789,0.342056,0.106892,0.628527,0.487429,0.166752
Disorder of the genitourinary system,14.434125,18.862505,14.089429,6.822099,12.662773,4.461892,3.102260,4.983723,1.761777,3.355994,2.896400,0.746840,0.521831,2.197434,3.710264,1.378782,1.153773,0.406932,1.699540,0.382995,0.368633
Disorder of skin,11.635888,8.084110,14.942529,4.363458,11.755734,12.436673,1.307403,3.045160,1.280166,1.133083,1.781337,20.134009,1.029580,1.242033,0.969657,3.235823,0.087160,0.642807,0.343193,0.490276,0.059923
Disorder of eye,10.787417,6.162393,14.708352,1.718235,10.864931,3.378335,1.266068,7.034429,0.665332,17.382598,12.428138,4.631484,0.516762,2.157483,0.949551,3.307280,0.310057,0.413410,1.039984,0.206705,0.071055
Blood disease,17.973472,24.647414,6.539624,8.168234,2.711551,9.595366,9.645735,3.055742,1.662189,2.333781,1.124916,0.856279,0.973808,1.502686,2.191068,1.821692,2.753526,0.218267,0.663197,0.654802,0.906649
Clinical finding,14.858168,7.083049,12.525632,3.221121,29.750513,1.469583,1.734450,5.169173,5.963773,4.460014,1.033835,0.803144,2.392344,2.571770,4.280588,0.760424,0.264867,0.461381,0.794600,0.085441,0.316131
