selection_reason,rank_within_reason,nct_id,aact_condition_name,disease_domain,aact_outcome_title,outcome_normalized,outcome_category,word_count,semantic_pattern,n_normalized_values_for_trial_title,n_category_values_for_trial_title,n_disease_domains_for_trial_title,n_distinct_titles_per_normalized_concept,why_potentially_difficult,formal_validation_status
very_long_title,1,NCT00102531,Osteosarcoma Metastatic,Neoplastic disease,The Study Medication Was to be Considered Effective if the Population Response Rate Was Found to be Greater Than 20% and Individuals Who Demonstrated a CR or PR or Whose Tumours Demonstrated a Grade 3 or 4 Histologic Response at the Time of Surgery.,OBJECTIVE RESPONSE RATE,Response Rates,44,object+temporal_expression+measurement_operator+explicit_unit,1,1,1,3840,"At or above the 99th percentile of title word count; long titles can combine construct, timing, instrument, and constraints.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_long_title,2,NCT04680052,Follicular Lymphoma,Neoplastic disease,FL Population: Overall Response Rate (Percentage of Participants Who Achieved a CR/PR Per the Lugano Classification at Any Time During the Study But Before the First PD and Before/at the Start of a New Antilymphoma Treatment) by Investigator Assessment,OBJECTIVE RESPONSE RATE,Response Rates,39,object+temporal_expression+measurement_operator+instrument_or_scale+participant_population,1,1,1,3840,"At or above the 99th percentile of title word count; long titles can combine construct, timing, instrument, and constraints.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_long_title,3,NCT03822117,Solid Tumor Malignancy,Neoplastic disease,"Objective Response Rate (ORR), Defined as the Percentage of Participants With a Best Overall Response of Complete Response (CR) or Partial Response (PR) Based on RECIST v1.1 or RANO, in Participants With FGFR1-3 In-frame Fusions or FGFR2 Arrangements",OBJECTIVE RESPONSE RATE,Response Rates,39,object+measurement_operator+participant_population,1,1,1,3840,"At or above the 99th percentile of title word count; long titles can combine construct, timing, instrument, and constraints.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_long_title,4,NCT00413218,Candidemia,Infection,Percentage of Participants With Overall Response of Success at the End of Intravenous Therapy (EOIV) as Determined by the Data Review Committee (DRC) Based on the Assessments of Clinical and Mycological Responses as Well as Alternative Systemic AFT Use,OBJECTIVE RESPONSE RATE,Response Rates,39,object+temporal_expression+measurement_operator+participant_population,1,1,1,3840,"At or above the 99th percentile of title word count; long titles can combine construct, timing, instrument, and constraints.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_long_title,5,NCT03112603,Graft-versus-host Disease (GVHD),Disorder of immune function,Efficacy of Ruxolitinib Versus Investigator's Choice Best Available Therapy (BAT) in Participants With Moderate or Severe Steroid Refractory Chronic Graft Versus Host Disease (SR-cGvHD) Assessed by Overall Response Rate (ORR) at the Cycle 7 Day 1 Visit,OBJECTIVE RESPONSE RATE,Response Rates,38,object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,1,1,1,3840,"At or above the 99th percentile of title word count; long titles can combine construct, timing, instrument, and constraints.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_long_title,6,NCT00989664,"Lymphoma, Non-Hodgkin",Neoplastic disease,"Number of Participants (Par.) Receiving TST and I 131 TST With a Response >=30 Days Versus Par. With a Response >=30 Days After Their Last Qualifying Chemotherapy Regimen (LQCR), Masked Independent Randomized Radiology and Oncology Review (MIRROR) Panel",OBJECTIVE RESPONSE RATE,Response Rates,38,object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,1,1,1,3840,"At or above the 99th percentile of title word count; long titles can combine construct, timing, instrument, and constraints.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_long_title,7,NCT05221320,Gastrointestinal Cancer,Neoplastic disease,Overall Response Rate as Defined by the Proportion of Patients Achieving a Confirmed Partial Response (PR) and Complete Response (CR) (Defined by Response Evaluation Criteria in Solid Tumors (RECIST 1.1) as Evaluated by the Local Treating Investigator.,OBJECTIVE RESPONSE RATE,Response Rates,38,object+temporal_expression+measurement_operator+participant_population,1,1,1,3840,"At or above the 99th percentile of title word count; long titles can combine construct, timing, instrument, and constraints.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_long_title,8,NCT03053440,Waldenström's Macroglobulinemia,Neoplastic disease,Percentage of Participants Achieving Either a Complete Response (CR) or Very Good Partial Response (VGPR) Using an Adaptation of the Response Criteria Updated at the Sixth International Workshop on WM as Assessed by an Independent Review Committee (IRC),OBJECTIVE RESPONSE RATE,Response Rates,38,object+temporal_expression+measurement_operator+participant_population,1,1,1,3840,"At or above the 99th percentile of title word count; long titles can combine construct, timing, instrument, and constraints.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_short_or_acronym,1,NCT00089284,Non-Hodgkin's Lymphoma (NHL),Neoplastic disease,Anti-lymphoma Efficacy,OBJECTIVE RESPONSE RATE,Response Rates,2,object_only,1,1,1,3840,One/two-token or acronym-like title with limited lexical context.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_short_or_acronym,2,NCT00737360,Head and Neck Cancer,Neoplastic disease,Antitumor Activity,OBJECTIVE RESPONSE RATE,Response Rates,2,object_only,1,1,1,3840,One/two-token or acronym-like title with limited lexical context.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_short_or_acronym,3,NCT00824161,Advanced Colorectal Cancer,Neoplastic disease,Antitumor Activity,OBJECTIVE RESPONSE RATE,Response Rates,2,object_only,1,1,1,3840,One/two-token or acronym-like title with limited lexical context.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_short_or_acronym,4,NCT01117428,Metastatic Colorectal Cancer,Neoplastic disease,Antitumor Activity,OBJECTIVE RESPONSE RATE,Response Rates,2,object_only,1,1,1,3840,One/two-token or acronym-like title with limited lexical context.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_short_or_acronym,5,NCT00083382,Multiple Myeloma,Neoplastic disease,Best Response,OBJECTIVE RESPONSE RATE,Response Rates,2,object_only,1,1,1,3840,One/two-token or acronym-like title with limited lexical context.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_short_or_acronym,6,NCT00357500,"Central Nervous System Tumor, Pediatric",Neoplastic disease,Best Response,OBJECTIVE RESPONSE RATE,Response Rates,2,object_only,1,1,1,3840,One/two-token or acronym-like title with limited lexical context.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_short_or_acronym,7,NCT00434226,Non-Small Cell Lung Cancer,Neoplastic disease,Best Response,OBJECTIVE RESPONSE RATE,Response Rates,2,object_only,1,1,1,3840,One/two-token or acronym-like title with limited lexical context.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
very_short_or_acronym,8,NCT00434356,Metastatic Breast Cancer,Neoplastic disease,Best Response,OBJECTIVE RESPONSE RATE,Response Rates,2,object_only,1,1,1,3840,One/two-token or acronym-like title with limited lexical context.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
composite_or_multiple_objects,1,NCT01007448,Refractory Cutaneous T-cell Lymphoma,Neoplastic disease,"Number of Participants With Tumor Response (Complete Response [CR], Clinical Complete Response [CCR], and Partial Response [PR]) in up to 5 Index Lesions as Determined by Investigator's Composite Assessment (CA) of Index Lesion Disease Severity",OBJECTIVE RESPONSE RATE,Response Rates,36,object+temporal_expression+measurement_operator+instrument_or_scale+composite_or_multiple_objects+participant_population,1,1,1,3840,Lexical rules indicate a composite or multiple outcome objects.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
composite_or_multiple_objects,2,NCT03529110,Breast Cancer,Neoplastic disease,"Percentage of Participants With Objective Response Rate (ORR) Based on BICR and Investigator Assessment in Participants With HER2-Positive, Unresectable and/or Metastatic Breast Cancer Previously Treated With Trastuzumab and Taxane",OBJECTIVE RESPONSE RATE,Response Rates,29,object+measurement_operator+instrument_or_scale+composite_or_multiple_objects+participant_population,1,1,1,3840,Lexical rules indicate a composite or multiple outcome objects.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
composite_or_multiple_objects,3,NCT03292406,Cutaneous T Cell Lymphoma,Neoplastic disease,Number of Participants Reported Overall Response (Complete and Partial) of Target Treated Lesions Based on Modified Composite Assessment of Index Lesion Severity (mCAILS) Score at Week 12,OBJECTIVE RESPONSE RATE,Response Rates,27,object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit+composite_or_multiple_objects+participant_population,1,1,1,3840,Lexical rules indicate a composite or multiple outcome objects.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
composite_or_multiple_objects,4,NCT01802567,Brain Tumors,Neoplastic disease,Overall Response Rate (ORR) of Participants by the Presence of Radiologically Assessable Disease by Cross-sectional CT or MRI Imaging and/or by MIBG or PET Scans.,OBJECTIVE RESPONSE RATE,Response Rates,25,object+temporal_expression+measurement_operator+composite_or_multiple_objects+participant_population,1,1,1,3840,Lexical rules indicate a composite or multiple outcome objects.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
composite_or_multiple_objects,5,NCT02162732,Choroid Plexus Neoplasms,Neoplastic disease,Overall Response Rate (ORR) of Participants by the Presence of Radiologically Assessable Disease by Cross-sectional CT or MRI Imaging and/or by MIBG or PET Scans.,OBJECTIVE RESPONSE RATE,Response Rates,25,object+temporal_expression+measurement_operator+composite_or_multiple_objects+participant_population,1,1,1,3840,Lexical rules indicate a composite or multiple outcome objects.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
composite_or_multiple_objects,6,NCT03368196,"Adenocarcinoma, Gastric",Neoplastic disease,"Best Overall Response By The Investigator's Assessment (Unconfirmed) in Participants With HER2-Positive Advanced and/or Refractory Gastric, Gastroesophageal Junction Adenocarcinoma, or Breast Cancer",OBJECTIVE RESPONSE RATE,Response Rates,23,object+temporal_expression+instrument_or_scale+composite_or_multiple_objects+participant_population,1,1,1,3840,Lexical rules indicate a composite or multiple outcome objects.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
composite_or_multiple_objects,7,NCT03523585,Breast Cancer,Neoplastic disease,"Percentage of Participants With Objective Response Rate (ORR) in Participants With HER2-positive, Unresectable and/or Metastatic Breast Cancer Participants Previously Treated With Trastuzumab Emtansine",OBJECTIVE RESPONSE RATE,Response Rates,23,object+measurement_operator+composite_or_multiple_objects+participant_population,1,1,1,3840,Lexical rules indicate a composite or multiple outcome objects.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
composite_or_multiple_objects,8,NCT00556049,Neoplasm Metastases,Neoplastic disease,To Determine the Overall Response Rate of Combination Therapy With Gemcitabine and Sunitinib in Sarcomatoid and/or Poor-risk mRCC Patients as First Line Therapy.,OBJECTIVE RESPONSE RATE,Response Rates,23,object+measurement_operator+composite_or_multiple_objects+participant_population,1,1,1,3840,Lexical rules indicate a composite or multiple outcome objects.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
other_clinical_endpoint,1,NCT01720446,Diabetes,Disorder of endocrine system,Change From Baseline to Last Assessment in the Trial in Other Treatment Outcomes: Body Weight,CHANGE IN BODY WEIGHT,Other Clinical Endpoints,15,object+measurement_operator+baseline_or_comparator+instrument_or_scale,1,1,1,683,"Mapped to the residual category, a useful coverage-review stratum.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
