semantic_pattern,example_rank,aact_outcome_title,endpoint_record_count,word_count
object_only,1,Overall Survival,2038,2
object_only,2,Overall Survival (OS),1878,3
object_only,3,Progression Free Survival (PFS),709,4
object+measurement_operator+participant_population,1,Number of Participants With Adverse Events,724,6
object+measurement_operator+participant_population,2,Number of Participants With Adverse Events (AEs),336,7
object+measurement_operator+participant_population,3,Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs),194,12
object+measurement_operator,1,Duration of Response,512,3
object+measurement_operator,2,Objective Response Rate (ORR),499,4
object+measurement_operator,3,Overall Response Rate (ORR),388,4
object+measurement_operator+baseline_or_comparator,1,Disease Control Rate (DCR),239,4
object+measurement_operator+baseline_or_comparator,2,Change From Baseline in Body Weight,112,6
object+measurement_operator+baseline_or_comparator,3,Disease Control Rate,108,3
object+temporal_expression+measurement_operator,1,Time to Progression,232,3
object+temporal_expression+measurement_operator,2,Time to Progression (TTP),175,4
object+temporal_expression+measurement_operator,3,Time to Response,137,3
object+participant_population,1,Patient Satisfaction,143,2
object+participant_population,2,Subject Satisfaction,45,2
object+participant_population,3,Patient Survival,30,2
object+instrument_or_scale,1,Body Mass Index (BMI),70,4
object+instrument_or_scale,2,Body Mass Index,69,3
object+instrument_or_scale,3,Pittsburgh Sleep Quality Index (PSQI),36,5
object+measurement_operator+instrument_or_scale,1,Pain Score,51,2
object+measurement_operator+instrument_or_scale,2,Change in Body Mass Index (BMI),46,6
object+measurement_operator+instrument_or_scale,3,Change in Body Mass Index,29,5
object+temporal_expression+measurement_operator+participant_population,1,Number of Participants With One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug Administration,43,23
object+temporal_expression+measurement_operator+participant_population,2,Number of Participants With Treatment-related Adverse Events as Assessed by CTCAE v4.0,31,13
object+temporal_expression+measurement_operator+participant_population,3,Number of Patients With Grade 3 Through Grade 5 Adverse Events That Are Related to Study Drug,22,17
object+measurement_operator+baseline_or_comparator+participant_population,1,Number of Participants With Clinically Significant Change From Baseline in Vital Signs,40,12
object+measurement_operator+baseline_or_comparator+participant_population,2,Percentage of Participants With Disease Control,20,6
object+measurement_operator+baseline_or_comparator+participant_population,3,Number of Participants With Laboratory Test Abnormalities (Without Regard to Baseline Abnormality),19,12
object+temporal_expression+measurement_operator+explicit_unit+participant_population,1,Percentage of Participants With Sustained Virologic Response (SVR) 12 Weeks After Discontinuation of Therapy (SVR12),39,15
object+temporal_expression+measurement_operator+explicit_unit+participant_population,2,Percentage of Participants With Sustained Virologic Response 12 Weeks Post-treatment (SVR12),20,11
object+temporal_expression+measurement_operator+explicit_unit+participant_population,3,Percentage of Participants With Sustained Virologic Response 12 Weeks After Discontinuation of Therapy (SVR12),17,14
object+temporal_expression+measurement_operator+composite_or_multiple_objects+participant_population,1,Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0),34,21
object+temporal_expression+measurement_operator+composite_or_multiple_objects+participant_population,2,Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v4.0),25,21
object+temporal_expression+measurement_operator+composite_or_multiple_objects+participant_population,3,Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0).,14,21
object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit,1,Change From Baseline in Fasting Plasma Glucose (FPG) at Week 24,31,11
object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit,2,Change From Baseline in CD4+ Cell Count at Week 48,19,10
object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit,3,Change From Baseline in Body Weight at Week 24,16,9
object+temporal_expression,1,Gestational Age at Delivery,30,4
object+temporal_expression,2,Volume of Distribution at Steady State (Vss),20,7
object+temporal_expression,3,Accuracy of Sensor by Arms Calculation,12,6
object+measurement_operator+baseline_or_comparator+instrument_or_scale,1,Change From Baseline in Body Mass Index (BMI),29,8
object+measurement_operator+baseline_or_comparator+instrument_or_scale,2,Change From Baseline on the Visual Analog Scale (VAS) for Pain,12,11
object+measurement_operator+baseline_or_comparator+instrument_or_scale,3,Change From Baseline in Bath Ankylosing Spondylitis Functional Index (BASFI),8,10
object+instrument_or_scale+participant_population,1,Patient Health Questionnaire (PHQ-9),29,4
object+instrument_or_scale+participant_population,2,Patient Health Questionnaire-9 (PHQ-9),25,4
object+instrument_or_scale+participant_population,3,Patient Health Questionnaire,13,3
object+baseline_or_comparator,1,Disease Control,29,2
object+baseline_or_comparator,2,Glycemic Control,19,2
object+baseline_or_comparator,3,Local Control,11,2
object+temporal_expression+explicit_unit,1,Ventilator-free Days,20,2
object+temporal_expression+explicit_unit,2,28-day Mortality,19,2
object+temporal_expression+explicit_unit,3,Drinks Per Drinking Day,18,4
object+explicit_unit,1,Forced Expiratory Volume in 1 Second (FEV1),19,7
object+explicit_unit,2,Forced Expiratory Volume in One Second (FEV1),11,7
object+explicit_unit,3,Body Weight (kg),7,3
object+temporal_expression+measurement_operator+explicit_unit,1,6-month Progression-free Survival (PFS) Rate,17,5
object+temporal_expression+measurement_operator+explicit_unit,2,Percent Heavy Drinking Days,17,4
object+temporal_expression+measurement_operator+explicit_unit,3,Number of Days With Solicited General Symptoms,14,7
object+measurement_operator+explicit_unit+participant_population,1,Percentage of Participants Achieving American College of Rheumatology 70% (ACR70) Response,15,11
object+measurement_operator+explicit_unit+participant_population,2,Percentage of Participants Achieving American College of Rheumatology 50% (ACR50) Response,12,11
object+measurement_operator+explicit_unit+participant_population,3,Percentage of Participants Who Achieved Weight Loss ≥5%,6,8
object+measurement_operator+composite_or_multiple_objects+participant_population,1,Number of Participants Reporting Local Reactogenicity Signs and Symptoms: Erythema and/or Induration,15,12
object+measurement_operator+composite_or_multiple_objects+participant_population,2,Number of Participants Reporting Local Reactogenicity Signs and Symptoms: Pain and/or Tenderness,15,12
object+measurement_operator+composite_or_multiple_objects+participant_population,3,Number of Participants Reporting Local Solicited Adverse Events Signs and Symptoms: Pain and/or Tenderness,4,14
