rank,outcome_category,n_endpoint_records,n_trials,n_unique_raw_title_strings,n_unique_normalized_concepts,pct_endpoint_records,pct_trials_with_category
1,Adverse Events/Safety,67278,31860,51730,33191,14.378621,43.390034
2,Biomarkers/Lab Values,66122,20126,58266,39086,14.131561,27.409536
3,Quality of Life/PRO,44532,17841,39986,27496,9.517357,24.297602
4,Pharmacokinetics,38886,9007,35186,15555,8.310697,12.266605
5,Symptoms/Pain,31741,14572,28569,19797,6.783671,19.845561
6,Response Rates,31149,18078,24179,11273,6.657149,24.620371
7,Survival/Time-to-Event,26621,13184,14616,6792,5.689427,17.955248
8,Vital Signs/Physical Measures,24851,10641,19418,10289,5.311144,14.491944
9,Mental Health Outcomes,21840,8165,19227,13004,4.667634,11.119888
10,Functional Status,21761,10692,19519,14444,4.650750,14.561401
11,Imaging Outcomes,14855,7169,13946,11218,3.174803,9.763439
12,Disease Activity Scores,13145,6007,12042,7793,2.809343,8.180914
13,Immunogenicity,12935,4717,12074,6963,2.764462,6.424067
14,Treatment Adherence,12143,7130,11155,9328,2.595196,9.710325
15,Hospitalization/Healthcare Use,10837,5453,8728,7030,2.316078,7.426424
16,Disease Control,9736,7082,8565,6664,2.080773,9.644953
17,Mortality,5684,3813,3875,2596,1.214782,5.192913
18,Microbiological/Virological,4587,2677,4262,3220,0.980331,3.645798
19,Other Clinical Endpoints,4325,3069,3996,3685,0.924337,4.179661
20,Remission/Cure,3039,1986,2716,1453,0.649494,2.704727
21,Dose-Finding,1836,1630,1623,731,0.392389,2.219892
