disease_domain,Adverse Events/Safety,Biomarkers/Lab Values,Quality of Life/PRO,Pharmacokinetics,Symptoms/Pain,Response Rates,Survival/Time-to-Event,Vital Signs/Physical Measures,Mental Health Outcomes,Functional Status,Imaging Outcomes,Disease Activity Scores,Immunogenicity,Treatment Adherence,Hospitalization/Healthcare Use,Disease Control,Mortality,Microbiological/Virological,Other Clinical Endpoints,Remission/Cure,Dose-Finding
Neoplastic disease,23.622840,-49.805528,-35.873932,42.959548,-55.210008,120.944928,207.070990,-53.422662,-53.191566,-51.732091,-13.726243,-42.855224,-19.682268,-22.704023,-29.434088,31.722462,1.918507,-25.533476,-10.244419,-4.454283,41.109044
Infection,45.311312,3.795342,-40.534651,14.054982,-40.640303,-3.933955,-30.644448,-27.170023,-36.390026,-43.913417,-31.633137,-27.207782,153.441669,5.772106,18.765689,-4.301624,13.924235,136.126167,-1.699479,1.257669,-11.985994
Disorder of endocrine system,-24.133094,136.988738,-8.231301,-17.571085,-24.610458,-26.099334,-37.786645,56.299495,-20.999232,-16.450857,-7.800249,-23.988042,-27.901619,-0.943638,-11.161196,-14.501266,-10.675153,-17.298464,0.692513,-13.408615,-0.110268
Mental illness,-49.722533,-36.375849,39.888682,-35.204861,9.390745,-24.103943,-41.911109,-8.088539,247.156851,-5.387926,-16.686443,-17.842027,-34.021115,59.825546,-11.047495,-25.942887,-19.603319,-18.365648,14.122527,6.607976,-9.958607
Neurological disorder,-16.674377,-32.676055,20.086752,-25.069102,47.649733,-27.655166,-32.213445,-10.502039,45.837148,91.550861,16.614269,10.687303,-16.003708,-5.801326,-10.008512,-15.943329,-6.970866,-17.092143,-7.266448,-12.019437,-5.855938
Cardiovascular disease,18.368977,42.668800,-19.017968,-33.994078,-36.325948,-32.676601,-20.795479,49.197282,-26.558324,2.633579,54.263302,-21.697701,-29.820186,-2.861946,19.396448,7.595426,51.747301,-16.524747,10.050836,-13.063177,-7.021504
Respiratory disease,-5.910767,-1.835702,-6.895928,-3.102830,13.296332,-32.322120,-21.175044,79.583720,-30.506215,9.440759,-9.783419,-17.986954,-11.133925,2.062993,27.200721,34.868879,6.015677,-4.543841,-5.807266,-11.529293,-5.551967
Situation with explicit context,-8.123635,-19.029720,7.547383,133.133577,-20.149247,-36.180842,-33.144909,-1.501618,4.256564,-3.614188,-14.727186,-21.967044,16.468702,11.332212,-0.050626,-16.718862,-12.896939,-2.762776,4.867246,-12.392063,-8.966297
Disorder of immune function,0.093486,5.664471,-1.838879,-9.028405,-14.248432,18.251749,-9.133854,-19.119240,-26.449017,-3.191747,-1.779601,93.901076,-1.491885,-4.557441,-10.203189,-2.132959,-0.694937,-6.703374,-5.086694,34.927388,0.373381
Disorder of digestive system,-6.886405,15.492485,-5.969723,0.105861,27.029132,-0.958469,-23.559289,-8.671609,-22.267074,-11.614754,-4.186348,27.472393,-6.822008,-8.649509,6.405246,5.433356,-5.639730,-1.912608,-1.906490,67.347965,-5.042793
