disease_area,disease,phase,outcome_normalized,outcome_trial_count,phase_trial_count,percentage,outcome_position
Disorder of skin,Acne,Phase 1,IGA RESPONSE,3,4,75.0000,0
Disorder of skin,Acne,Phase 1,ABSOLUTE CHANGE IN ACNE LESION COUNTS,1,4,25.0000,15
Disorder of skin,Acne,Phase 1,ABSOLUTE CHANGE IN GENOTYPE MARKERS,1,4,25.0000,16
Disorder of skin,Acne,Phase 1,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,1,4,25.0000,3
Disorder of skin,Acne,Phase 1,ABSOLUTE CHANGE IN NON-INFLAMMATORY LESION COUNT,1,4,25.0000,17
Disorder of skin,Acne,Phase 1,ABSOLUTE CHANGE IN SEBUM PRODUCTION,1,4,25.0000,18
Disorder of skin,Acne,Phase 1,ABSOLUTE LESION COUNT,1,4,25.0000,19
Disorder of skin,Acne,Phase 2,IGA RESPONSE,9,46,19.5652,0
Disorder of skin,Acne,Phase 2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,6,46,13.0435,7
Disorder of skin,Acne,Phase 2,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,3,46,6.5217,3
Disorder of skin,Acne,Phase 2,ABSOLUTE CHANGE IN NONINFLAMMATORY LESION COUNT,3,46,6.5217,12
Disorder of skin,Acne,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,3,46,6.5217,13
Disorder of skin,Acne,Phase 2,PERCENT CHANGE IN INFLAMMATORY ACNE LESION COUNTS,3,46,6.5217,14
Disorder of skin,Acne,Phase 2,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,3,46,6.5217,1
Disorder of skin,Acne,Phase 3,IGA RESPONSE,20,81,24.6914,0
Disorder of skin,Acne,Phase 3,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,9,81,11.1111,1
Disorder of skin,Acne,Phase 3,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,8,81,9.8765,3
Disorder of skin,Acne,Phase 3,PERCENT CHANGE IN NON-INFLAMMATORY LESION COUNTS,8,81,9.8765,4
Disorder of skin,Acne,Phase 3,PERCENT CHANGE IN TOTAL LESION COUNTS,8,81,9.8765,2
Disorder of skin,Acne,Phase 3,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNTS,6,81,7.4074,5
Disorder of skin,Acne,Phase 3,ABSOLUTE CHANGE IN NON-INFLAMMATORY LESION COUNTS,6,81,7.4074,6
Disorder of skin,Acne,Phase 4,IGA RESPONSE,13,69,18.8406,0
Disorder of skin,Acne,Phase 4,PERCENT CHANGE IN TOTAL LESION COUNT,6,69,8.6957,8
Disorder of skin,Acne,Phase 4,PATIENT SATISFACTION,5,69,7.2464,9
Disorder of skin,Acne,Phase 4,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,5,69,7.2464,1
Disorder of skin,Acne,Phase 4,PERCENT CHANGE IN NON-INFLAMMATORY LESION COUNT,5,69,7.2464,10
Disorder of skin,Acne,Phase 4,PERCENT CHANGE IN TOTAL LESION COUNTS,5,69,7.2464,2
Disorder of skin,Acne,Phase 4,PERCENT CHANGE IN INFLAMMATORY LESION COUNT,4,69,5.7971,11
