disease_area,disease,phase,completion_period,period_trial_count,outcome_normalized,percentage,rank,outcome_position
Disorder of skin,Acne,Phase 1,2011-2015,1,IGA RESPONSE,0.0000,1.0000,0
Disorder of skin,Acne,Phase 1,2011-2015,1,ABSOLUTE CHANGE IN ACNE LESION COUNTS,0.0000,1.0000,15
Disorder of skin,Acne,Phase 1,2011-2015,1,ABSOLUTE CHANGE IN GENOTYPE MARKERS,0.0000,1.0000,16
Disorder of skin,Acne,Phase 1,2011-2015,1,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,0.0000,1.0000,3
Disorder of skin,Acne,Phase 1,2011-2015,1,ABSOLUTE CHANGE IN NON-INFLAMMATORY LESION COUNT,0.0000,1.0000,17
Disorder of skin,Acne,Phase 1,2016-2020,3,IGA RESPONSE,100.0000,1.0000,0
Disorder of skin,Acne,Phase 1,2016-2020,3,ABSOLUTE CHANGE IN ACNE LESION COUNTS,50.0000,2.0000,15
Disorder of skin,Acne,Phase 1,2016-2020,3,ABSOLUTE CHANGE IN GENOTYPE MARKERS,50.0000,2.0000,16
Disorder of skin,Acne,Phase 1,2016-2020,3,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,50.0000,2.0000,3
Disorder of skin,Acne,Phase 1,2016-2020,3,ABSOLUTE CHANGE IN NON-INFLAMMATORY LESION COUNT,50.0000,2.0000,17
Disorder of skin,Acne,Phase 2,2006-2010,10,IGA RESPONSE,54.7619,1.0000,0
Disorder of skin,Acne,Phase 2,2006-2010,10,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,14.2857,2.0000,3
Disorder of skin,Acne,Phase 2,2006-2010,10,ABSOLUTE CHANGE IN NONINFLAMMATORY LESION COUNT,14.2857,2.0000,12
Disorder of skin,Acne,Phase 2,2006-2010,10,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,0.0000,4.0000,7
Disorder of skin,Acne,Phase 2,2006-2010,10,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,0.0000,4.0000,13
Disorder of skin,Acne,Phase 2,2011-2015,14,IGA RESPONSE,75.0000,1.0000,0
Disorder of skin,Acne,Phase 2,2011-2015,14,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,50.0000,2.0000,3
Disorder of skin,Acne,Phase 2,2011-2015,14,ABSOLUTE CHANGE IN NONINFLAMMATORY LESION COUNT,50.0000,2.0000,12
Disorder of skin,Acne,Phase 2,2011-2015,14,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,33.3333,4.0000,13
Disorder of skin,Acne,Phase 2,2011-2015,14,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,0.0000,5.0000,7
Disorder of skin,Acne,Phase 2,2016-2020,15,IGA RESPONSE,62.5000,1.0000,0
Disorder of skin,Acne,Phase 2,2016-2020,15,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,45.0000,2.0000,7
Disorder of skin,Acne,Phase 2,2016-2020,15,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,25.0000,3.0000,3
Disorder of skin,Acne,Phase 2,2016-2020,15,ABSOLUTE CHANGE IN NONINFLAMMATORY LESION COUNT,25.0000,3.0000,12
Disorder of skin,Acne,Phase 2,2016-2020,15,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,25.0000,3.0000,13
Disorder of skin,Acne,Phase 2,2021-2025,7,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,70.0000,1.0000,7
Disorder of skin,Acne,Phase 2,2021-2025,7,IGA RESPONSE,0.0000,2.0000,0
Disorder of skin,Acne,Phase 2,2021-2025,7,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,0.0000,2.0000,3
Disorder of skin,Acne,Phase 2,2021-2025,7,ABSOLUTE CHANGE IN NONINFLAMMATORY LESION COUNT,0.0000,2.0000,12
Disorder of skin,Acne,Phase 2,2021-2025,7,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,0.0000,2.0000,13
Disorder of skin,Acne,Phase 3,2006-2010,18,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,66.6667,1.0000,3
Disorder of skin,Acne,Phase 3,2006-2010,18,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,58.3333,2.0000,1
Disorder of skin,Acne,Phase 3,2006-2010,18,PERCENT CHANGE IN TOTAL LESION COUNTS,58.3333,2.0000,2
Disorder of skin,Acne,Phase 3,2006-2010,18,IGA RESPONSE,36.9048,4.0000,0
