disease_area,disease,start_year,trial_count
Neoplastic disease,Brain Tumors,1966,1
Disorder of endocrine system,Hypoparathyroidism,1976,1
Cardiovascular disease,Coronary Artery Disease,1982,1
Disorder of skin,Wound Healing,1984,1
Mental illness,Smoking Cessation,1984,1
Disorder of endocrine system,Growth Hormone Deficiency,1985,1
Respiratory disease,Cystic Fibrosis,1986,1
Disorder of endocrine system,Type 2 Diabetes,1988,1
Disorder of endocrine system,Metabolic Syndrome,1989,1
Neurological disorder,Spinal Cord Injury,1989,1
Neurological disorder,Stroke,1989,1
Cardiovascular disease,Hypertension,1990,1
Disorder of digestive system,Short Bowel Syndrome,1990,1
Infection,HIV/AIDS,1990,2
Neoplastic disease,Hodgkin Lymphoma,1990,2
Neoplastic disease,Neuroendocrine Tumors,1990,1
Neoplastic disease,Sarcoma,1990,1
Cardiovascular disease,Hypertension,1991,2
Disorder of endocrine system,Gestational Diabetes,1991,1
Disorder of endocrine system,Growth Hormone Deficiency,1991,1
Disorder of endocrine system,Hypoparathyroidism,1991,1
Disorder of labour / delivery,Preterm Labor,1991,1
Mental illness,Generalized Anxiety Disorder,1991,1
Musculoskeletal disorder,Osteoporosis,1991,1
Neoplastic disease,Neuroendocrine Tumors,1991,1
Respiratory disease,Asthma,1991,1
Cardiovascular disease,Coronary Artery Disease,1992,1
Cardiovascular disease,Hypertension,1992,1
Congenital disease,Lysosomal Storage Disorders,1992,1
Disorder of endocrine system,Metabolic Syndrome,1992,1
Disorder of the genitourinary system,Erectile Dysfunction,1992,1
Infection,HIV/AIDS,1992,1
Mental illness,Postpartum Depression,1992,1
Disorder of endocrine system,Growth Hormone Deficiency,1993,1
Disorder of endocrine system,Hyperparathyroidism,1993,1
Neoplastic disease,Colorectal Cancer,1993,1
Neoplastic disease,Diffuse Large B-Cell Lymphoma,1993,1
Neoplastic disease,Ovarian Cancer,1993,2
Neoplastic disease,Prostate Cancer,1993,1
Neoplastic disease,Small Cell Lung Cancer,1993,1
Respiratory disease,Allergic Rhinitis,1993,1
Respiratory disease,Asthma,1993,1
Disorder of eye,Glaucoma,1994,1
Disorder of the genitourinary system,Endometriosis,1994,1
Infection,HIV/AIDS,1994,1
Mental illness,Major Depressive Disorder,1994,1
Neoplastic disease,Chronic Myeloid Leukemia,1994,1
Neoplastic disease,Colorectal Cancer,1994,1
Neoplastic disease,Glioblastoma,1994,1
Neoplastic disease,Locally Advanced Cancer,1994,1
Neoplastic disease,Prostate Cancer,1994,2
Neoplastic disease,Sarcoma,1994,1
Neurological disorder,Multiple Sclerosis,1994,1
Respiratory disease,Allergic Rhinitis,1994,2
Situation with explicit context,Healthy Volunteers,1994,1
Cardiovascular disease,Hypertension,1995,1
Disorder of endocrine system,Cushing's Syndrome,1995,1
Disorder of endocrine system,Diabetic Nephropathy,1995,1
Disorder of endocrine system,Type 2 Diabetes,1995,1
Disorder of eye,Cataracts,1995,1
Infection,HIV/AIDS,1995,1
Infection,Herpes Zoster,1995,1
Injury,Burns,1995,2
Neoplastic disease,Brain Tumors,1995,1
Neoplastic disease,Breast Cancer,1995,1
Neoplastic disease,Glioblastoma,1995,1
Neoplastic disease,Hodgkin Lymphoma,1995,3
