disease_area,disease,start_year,outcome_category,outcome_record_count,trial_count
Neoplastic disease,Brain Tumors,1966,Response Rates,1,1
Neoplastic disease,Brain Tumors,1966,Survival/Time-to-Event,1,1
Disorder of endocrine system,Hypoparathyroidism,1976,Biomarkers/Lab Values,1,1
Cardiovascular disease,Coronary Artery Disease,1982,Adverse Events/Safety,1,1
Cardiovascular disease,Coronary Artery Disease,1982,Mortality,1,1
Disorder of skin,Wound Healing,1984,Hospitalization/Healthcare Use,1,1
Mental illness,Smoking Cessation,1984,Quality of Life/PRO,1,1
Mental illness,Smoking Cessation,1984,Treatment Adherence,1,1
Disorder of endocrine system,Growth Hormone Deficiency,1985,Mortality,1,1
Disorder of endocrine system,Growth Hormone Deficiency,1985,Vital Signs/Physical Measures,4,1
Respiratory disease,Cystic Fibrosis,1986,Adverse Events/Safety,1,1
Respiratory disease,Cystic Fibrosis,1986,Disease Control,1,1
Disorder of endocrine system,Type 2 Diabetes,1988,Biomarkers/Lab Values,6,1
Disorder of endocrine system,Metabolic Syndrome,1989,Adverse Events/Safety,3,1
Disorder of endocrine system,Metabolic Syndrome,1989,Biomarkers/Lab Values,10,1
Disorder of endocrine system,Metabolic Syndrome,1989,Disease Control,1,1
Disorder of endocrine system,Metabolic Syndrome,1989,Vital Signs/Physical Measures,3,1
Neurological disorder,Spinal Cord Injury,1989,Functional Status,2,1
Neurological disorder,Stroke,1989,Adverse Events/Safety,1,1
Neurological disorder,Stroke,1989,Quality of Life/PRO,1,1
Cardiovascular disease,Hypertension,1990,Disease Control,1,1
Cardiovascular disease,Hypertension,1990,Vital Signs/Physical Measures,2,1
Disorder of digestive system,Short Bowel Syndrome,1990,Functional Status,4,1
Disorder of digestive system,Short Bowel Syndrome,1990,Vital Signs/Physical Measures,1,1
Infection,HIV/AIDS,1990,Mental Health Outcomes,2,1
Infection,HIV/AIDS,1990,Mortality,1,1
Neoplastic disease,Hodgkin Lymphoma,1990,Biomarkers/Lab Values,5,1
Neoplastic disease,Hodgkin Lymphoma,1990,Dose-Finding,2,1
Neoplastic disease,Hodgkin Lymphoma,1990,Imaging Outcomes,1,1
Neoplastic disease,Hodgkin Lymphoma,1990,Immunogenicity,2,1
Neoplastic disease,Hodgkin Lymphoma,1990,Microbiological/Virological,1,1
Neoplastic disease,Hodgkin Lymphoma,1990,Pharmacokinetics,5,1
Neoplastic disease,Hodgkin Lymphoma,1990,Remission/Cure,1,1
Neoplastic disease,Hodgkin Lymphoma,1990,Response Rates,3,1
Neoplastic disease,Hodgkin Lymphoma,1990,Survival/Time-to-Event,2,1
Neoplastic disease,Neuroendocrine Tumors,1990,Other Clinical Endpoints,1,1
Neoplastic disease,Neuroendocrine Tumors,1990,Survival/Time-to-Event,2,1
Neoplastic disease,Neuroendocrine Tumors,1990,Treatment Adherence,1,1
Neoplastic disease,Sarcoma,1990,Survival/Time-to-Event,1,1
