outcome_normalized,completion_period,outcome_trial_count,period_trial_count,percentage
1-YEAR SURVIVAL RATE,2006-2010,28,10330,0.2711
1-YEAR SURVIVAL RATE,2011-2015,41,19618,0.2090
1-YEAR SURVIVAL RATE,2016-2020,44,22670,0.1941
1-YEAR SURVIVAL RATE,2021-2025,22,18711,0.1176
2-YEAR SURVIVAL RATE,2006-2010,2,10330,0.0194
2-YEAR SURVIVAL RATE,2011-2015,18,19618,0.0918
2-YEAR SURVIVAL RATE,2016-2020,19,22670,0.0838
2-YEAR SURVIVAL RATE,2021-2025,13,18711,0.0695
28-DAY MORTALITY,2006-2010,3,10330,0.0290
28-DAY MORTALITY,2011-2015,7,19618,0.0357
28-DAY MORTALITY,2016-2020,20,22670,0.0882
28-DAY MORTALITY,2021-2025,16,18711,0.0855
30-DAY MORTALITY,2006-2010,17,10330,0.1646
30-DAY MORTALITY,2011-2015,32,19618,0.1631
30-DAY MORTALITY,2016-2020,54,22670,0.2382
30-DAY MORTALITY,2021-2025,54,18711,0.2886
6-MINUTE WALK DISTANCE,2006-2010,22,10330,0.2130
6-MINUTE WALK DISTANCE,2011-2015,46,19618,0.2345
6-MINUTE WALK DISTANCE,2016-2020,61,22670,0.2691
6-MINUTE WALK DISTANCE,2021-2025,52,18711,0.2779
6-MONTH PROGRESSION-FREE SURVIVAL,2006-2010,4,10330,0.0387
6-MONTH PROGRESSION-FREE SURVIVAL,2011-2015,15,19618,0.0765
6-MONTH PROGRESSION-FREE SURVIVAL,2016-2020,18,22670,0.0794
6-MONTH PROGRESSION-FREE SURVIVAL,2021-2025,12,18711,0.0641
90-DAY MORTALITY,2006-2010,3,10330,0.0290
90-DAY MORTALITY,2011-2015,9,19618,0.0459
90-DAY MORTALITY,2016-2020,24,22670,0.1059
90-DAY MORTALITY,2021-2025,29,18711,0.1550
ABSOLUTE CHANGE IN CFQ-R RESPIRATORY DOMAIN SCORE,2011-2015,9,19618,0.0459
ABSOLUTE CHANGE IN CFQ-R RESPIRATORY DOMAIN SCORE,2016-2020,26,22670,0.1147
ABSOLUTE CHANGE IN CFQ-R RESPIRATORY DOMAIN SCORE,2021-2025,9,18711,0.0481
ACCEPTABILITY OF INTERVENTION,2011-2015,2,19618,0.0102
ACCEPTABILITY OF INTERVENTION,2016-2020,11,22670,0.0485
ACCEPTABILITY OF INTERVENTION,2021-2025,43,18711,0.2298
ACCUMULATION RATIO,2006-2010,20,10330,0.1936
ACCUMULATION RATIO,2011-2015,59,19618,0.3007
ACCUMULATION RATIO,2016-2020,118,22670,0.5205
ACCUMULATION RATIO,2021-2025,78,18711,0.4169
ACR20 RESPONSE,2006-2010,66,10330,0.6389
ACR20 RESPONSE,2011-2015,151,19618,0.7697
ACR20 RESPONSE,2016-2020,109,22670,0.4808
ACR20 RESPONSE,2021-2025,43,18711,0.2298
ACR50 RESPONSE,2006-2010,45,10330,0.4356
ACR50 RESPONSE,2011-2015,113,19618,0.5760
ACR50 RESPONSE,2016-2020,87,22670,0.3838
ACR50 RESPONSE,2021-2025,34,18711,0.1817
ACR70 RESPONSE,2006-2010,40,10330,0.3872
ACR70 RESPONSE,2011-2015,97,19618,0.4944
ACR70 RESPONSE,2016-2020,73,22670,0.3220
ACR70 RESPONSE,2021-2025,31,18711,0.1657
ACTIVITIES OF DAILY LIVING,2006-2010,5,10330,0.0484
ACTIVITIES OF DAILY LIVING,2011-2015,7,19618,0.0357
ACTIVITIES OF DAILY LIVING,2016-2020,12,22670,0.0529
ACTIVITIES OF DAILY LIVING,2021-2025,18,18711,0.0962
ADVERSE EVENTS LEADING TO DISCONTINUATION,2006-2010,14,10330,0.1355
ADVERSE EVENTS LEADING TO DISCONTINUATION,2011-2015,21,19618,0.1070
ADVERSE EVENTS LEADING TO DISCONTINUATION,2016-2020,15,22670,0.0662
ADVERSE EVENTS LEADING TO DISCONTINUATION,2021-2025,29,18711,0.1550
ALL COLLECTED DEATHS,2006-2010,1,10330,0.0097
ALL COLLECTED DEATHS,2016-2020,31,22670,0.1367
ALL COLLECTED DEATHS,2021-2025,48,18711,0.2565
ALL-CAUSE MORTALITY,2006-2010,74,10330,0.7164
ALL-CAUSE MORTALITY,2011-2015,163,19618,0.8309
ALL-CAUSE MORTALITY,2016-2020,295,22670,1.3013
ALL-CAUSE MORTALITY,2021-2025,333,18711,1.7797
ANNUAL EXACERBATION RATE,2006-2010,2,10330,0.0194
ANNUAL EXACERBATION RATE,2011-2015,20,19618,0.1019
ANNUAL EXACERBATION RATE,2016-2020,34,22670,0.1500
ANNUAL EXACERBATION RATE,2021-2025,16,18711,0.0855
ANNUALIZED BLEEDING RATE,2011-2015,11,19618,0.0561
ANNUALIZED BLEEDING RATE,2016-2020,9,22670,0.0397
ANNUALIZED BLEEDING RATE,2021-2025,23,18711,0.1229
ANNUALIZED RELAPSE RATE,2006-2010,8,10330,0.0774
ANNUALIZED RELAPSE RATE,2011-2015,18,19618,0.0918
ANNUALIZED RELAPSE RATE,2016-2020,19,22670,0.0838
ANNUALIZED RELAPSE RATE,2021-2025,28,18711,0.1496
ANTI-DRUG ANTIBODIES,2006-2010,64,10330,0.6196
ANTI-DRUG ANTIBODIES,2011-2015,74,19618,0.3772
ANTI-DRUG ANTIBODIES,2016-2020,135,22670,0.5955
ANTI-DRUG ANTIBODIES,2021-2025,138,18711,0.7375
ANTIBODY TITER,2006-2010,102,10330,0.9874
ANTIBODY TITER,2011-2015,86,19618,0.4384
ANTIBODY TITER,2016-2020,43,22670,0.1897
ANTIBODY TITER,2021-2025,49,18711,0.2619
ANXIETY SCORE,2006-2010,1,10330,0.0097
ANXIETY SCORE,2011-2015,8,19618,0.0408
ANXIETY SCORE,2016-2020,17,22670,0.0750
ANXIETY SCORE,2021-2025,16,18711,0.0855
APNEA-HYPOPNEA INDEX,2006-2010,5,10330,0.0484
APNEA-HYPOPNEA INDEX,2011-2015,19,19618,0.0968
APNEA-HYPOPNEA INDEX,2016-2020,13,22670,0.0573
APNEA-HYPOPNEA INDEX,2021-2025,7,18711,0.0374
APPARENT CLEARANCE,2006-2010,8,10330,0.0774
APPARENT CLEARANCE,2011-2015,29,19618,0.1478
APPARENT CLEARANCE,2016-2020,47,22670,0.2073
APPARENT CLEARANCE,2021-2025,47,18711,0.2512
APPARENT CLEARANCE (CL/F),2006-2010,4,10330,0.0387
APPARENT CLEARANCE (CL/F),2011-2015,11,19618,0.0561
APPARENT CLEARANCE (CL/F),2016-2020,30,22670,0.1323
APPARENT CLEARANCE (CL/F),2021-2025,37,18711,0.1977
APPARENT ORAL CLEARANCE,2006-2010,19,10330,0.1839
APPARENT ORAL CLEARANCE,2011-2015,42,19618,0.2141
APPARENT ORAL CLEARANCE,2016-2020,29,22670,0.1279
APPARENT ORAL CLEARANCE,2021-2025,20,18711,0.1069
APPARENT TERMINAL ELIMINATION HALF-LIFE,2006-2010,7,10330,0.0678
APPARENT TERMINAL ELIMINATION HALF-LIFE,2011-2015,12,19618,0.0612
APPARENT TERMINAL ELIMINATION HALF-LIFE,2016-2020,28,22670,0.1235
APPARENT TERMINAL ELIMINATION HALF-LIFE,2021-2025,16,18711,0.0855
APPARENT TERMINAL HALF-LIFE,2006-2010,13,10330,0.1258
APPARENT TERMINAL HALF-LIFE,2011-2015,34,19618,0.1733
APPARENT TERMINAL HALF-LIFE,2016-2020,46,22670,0.2029
APPARENT TERMINAL HALF-LIFE,2021-2025,37,18711,0.1977
APPARENT TOTAL BODY CLEARANCE,2006-2010,6,10330,0.0581
APPARENT TOTAL BODY CLEARANCE,2011-2015,12,19618,0.0612
APPARENT TOTAL BODY CLEARANCE,2016-2020,20,22670,0.0882
APPARENT TOTAL BODY CLEARANCE,2021-2025,12,18711,0.0641
APPARENT VOLUME OF DISTRIBUTION,2006-2010,30,10330,0.2904
APPARENT VOLUME OF DISTRIBUTION,2011-2015,92,19618,0.4690
APPARENT VOLUME OF DISTRIBUTION,2016-2020,170,22670,0.7499
