outcome_normalized,disease_area,disease,outcome_trial_count,disease_trial_count,percentage
1-YEAR SURVIVAL RATE,Neoplastic disease,Non-Small Cell Lung Cancer,15,944,1.5890
1-YEAR SURVIVAL RATE,Neoplastic disease,Acute Myeloid Leukemia,10,369,2.7100
1-YEAR SURVIVAL RATE,Neoplastic disease,Multiple Myeloma,7,573,1.2216
1-YEAR SURVIVAL RATE,Neoplastic disease,Small Cell Lung Cancer,7,505,1.3861
1-YEAR SURVIVAL RATE,Neoplastic disease,Breast Cancer,6,1499,0.4003
1-YEAR SURVIVAL RATE,Neoplastic disease,Metastatic Disease,5,366,1.3661
1-YEAR SURVIVAL RATE,Blood disease,Myelodysplastic Syndromes,5,297,1.6835
1-YEAR SURVIVAL RATE,Neoplastic disease,Acute Lymphoblastic Leukemia,4,364,1.0989
1-YEAR SURVIVAL RATE,Neoplastic disease,Chronic Myeloid Leukemia,4,399,1.0025
1-YEAR SURVIVAL RATE,Disorder of endocrine system,Gestational Diabetes,4,982,0.4073
1-YEAR SURVIVAL RATE,Neoplastic disease,Glioblastoma,4,386,1.0363
1-YEAR SURVIVAL RATE,Disorder of immune function,Organ Transplant Rejection,4,362,1.1050
1-YEAR SURVIVAL RATE,Neoplastic disease,Melanoma,3,560,0.5357
1-YEAR SURVIVAL RATE,Cardiovascular disease,Myocardial Infarction,3,207,1.4493
1-YEAR SURVIVAL RATE,Neoplastic disease,Renal Cell Carcinoma,3,337,0.8902
1-YEAR SURVIVAL RATE,Musculoskeletal disorder,Bone Fracture,2,217,0.9217
1-YEAR SURVIVAL RATE,Neoplastic disease,Brain Tumors,2,505,0.3960
1-YEAR SURVIVAL RATE,Neoplastic disease,Cancer Immunotherapy,2,295,0.6780
1-YEAR SURVIVAL RATE,Disorder of digestive system,Cirrhosis,2,167,1.1976
1-YEAR SURVIVAL RATE,Neoplastic disease,Colorectal Cancer,2,556,0.3597
1-YEAR SURVIVAL RATE,Neoplastic disease,Esophageal Cancer,2,157,1.2739
1-YEAR SURVIVAL RATE,Neoplastic disease,Hematologic Malignancies General,2,160,1.2500
1-YEAR SURVIVAL RATE,Neoplastic disease,Hepatocellular Carcinoma,2,321,0.6231
1-YEAR SURVIVAL RATE,Neoplastic disease,Locally Advanced Cancer,2,572,0.3497
1-YEAR SURVIVAL RATE,Congenital disease,Lysosomal Storage Disorders,2,179,1.1173
1-YEAR SURVIVAL RATE,Neoplastic disease,Prostate Cancer,2,906,0.2208
1-YEAR SURVIVAL RATE,Respiratory disease,Asthma,1,737,0.1357
1-YEAR SURVIVAL RATE,Neoplastic disease,Bladder Cancer,1,334,0.2994
1-YEAR SURVIVAL RATE,Neoplastic disease,Cervical Cancer,1,269,0.3717
1-YEAR SURVIVAL RATE,Neoplastic disease,Cholangiocarcinoma,1,127,0.7874
1-YEAR SURVIVAL RATE,Cardiovascular disease,Coronary Artery Disease,1,662,0.1511
1-YEAR SURVIVAL RATE,Disorder of the genitourinary system,End-Stage Renal Disease,1,226,0.4425
1-YEAR SURVIVAL RATE,Infection,Fungal Infection,1,203,0.4926
1-YEAR SURVIVAL RATE,Situation with explicit context,Geriatric Population,1,206,0.4854
1-YEAR SURVIVAL RATE,Disorder of immune function,Graft-versus-Host Disease,1,184,0.5435
1-YEAR SURVIVAL RATE,Neoplastic disease,Head and Neck Cancer,1,445,0.2247
1-YEAR SURVIVAL RATE,Cardiovascular disease,Heart Failure,1,687,0.1456
1-YEAR SURVIVAL RATE,Infection,Hepatitis C,1,658,0.1520
1-YEAR SURVIVAL RATE,Disorder of endocrine system,Hypothyroidism,1,25,4.0000
1-YEAR SURVIVAL RATE,Mental illness,Major Depressive Disorder,1,1109,0.0902
1-YEAR SURVIVAL RATE,Neoplastic disease,Mesothelioma,1,87,1.1494
1-YEAR SURVIVAL RATE,Respiratory disease,Neonatal Respiratory Distress,1,171,0.5848
1-YEAR SURVIVAL RATE,Neoplastic disease,Neuroendocrine Tumors,1,260,0.3846
1-YEAR SURVIVAL RATE,Musculoskeletal disorder,Osteoporosis,1,441,0.2268
1-YEAR SURVIVAL RATE,Neoplastic disease,Ovarian Cancer,1,373,0.2681
1-YEAR SURVIVAL RATE,Neoplastic disease,Pancreatic Cancer,1,515,0.1942
1-YEAR SURVIVAL RATE,Situation with explicit context,Pediatric Population,1,145,0.6897
1-YEAR SURVIVAL RATE,Disorder of digestive system,Peptic Ulcer Disease,1,119,0.8403
1-YEAR SURVIVAL RATE,Infection,Pneumonia,1,244,0.4098
1-YEAR SURVIVAL RATE,Respiratory disease,Pulmonary Embolism,1,68,1.4706
1-YEAR SURVIVAL RATE,Neoplastic disease,Recurrent Cancer,1,444,0.2252
1-YEAR SURVIVAL RATE,Disorder of immune function,Severe Combined Immunodeficiency,1,43,2.3256
1-YEAR SURVIVAL RATE,Cardiovascular disease,Shock,1,73,1.3699
1-YEAR SURVIVAL RATE,Disorder of digestive system,Short Bowel Syndrome,1,234,0.4274
1-YEAR SURVIVAL RATE,Neurological disorder,Stroke,1,607,0.1647
1-YEAR SURVIVAL RATE,Disorder of immune function,Systemic Lupus Erythematosus,1,155,0.6452
1-YEAR SURVIVAL RATE,Disorder of immune function,Systemic Sclerosis,1,88,1.1364
1-YEAR SURVIVAL RATE,Neoplastic disease,Thyroid Cancer,1,128,0.7812
2-YEAR SURVIVAL RATE,Neoplastic disease,Breast Cancer,4,1499,0.2668
2-YEAR SURVIVAL RATE,Disorder of endocrine system,Gestational Diabetes,4,982,0.4073
2-YEAR SURVIVAL RATE,Neoplastic disease,Non-Small Cell Lung Cancer,3,944,0.3178
2-YEAR SURVIVAL RATE,Neoplastic disease,Acute Lymphoblastic Leukemia,2,364,0.5495
2-YEAR SURVIVAL RATE,Cardiovascular disease,Aortic Stenosis,2,321,0.6231
2-YEAR SURVIVAL RATE,Neoplastic disease,Chronic Myeloid Leukemia,2,399,0.5013
2-YEAR SURVIVAL RATE,Neoplastic disease,Colorectal Cancer,2,556,0.3597
2-YEAR SURVIVAL RATE,Neoplastic disease,Diffuse Large B-Cell Lymphoma,2,221,0.9050
2-YEAR SURVIVAL RATE,Neoplastic disease,Follicular Lymphoma,2,209,0.9569
2-YEAR SURVIVAL RATE,Neoplastic disease,Glioblastoma,2,386,0.5181
2-YEAR SURVIVAL RATE,Neoplastic disease,Hodgkin Lymphoma,2,469,0.4264
2-YEAR SURVIVAL RATE,Neoplastic disease,Locally Advanced Cancer,2,572,0.3497
2-YEAR SURVIVAL RATE,Neoplastic disease,Multiple Myeloma,2,573,0.3490
2-YEAR SURVIVAL RATE,Disorder of immune function,Organ Transplant Rejection,2,362,0.5525
2-YEAR SURVIVAL RATE,Musculoskeletal disorder,Osteoarthritis,2,845,0.2367
2-YEAR SURVIVAL RATE,Neoplastic disease,Pancreatic Cancer,2,515,0.3883
2-YEAR SURVIVAL RATE,Cardiovascular disease,Atherosclerosis,1,254,0.3937
2-YEAR SURVIVAL RATE,Neoplastic disease,Chronic Lymphocytic Leukemia,1,198,0.5051
2-YEAR SURVIVAL RATE,Disorder of the genitourinary system,End-Stage Renal Disease,1,226,0.4425
2-YEAR SURVIVAL RATE,Disorder of the genitourinary system,Endometriosis,1,186,0.5376
2-YEAR SURVIVAL RATE,Neoplastic disease,Esophageal Cancer,1,157,0.6369
2-YEAR SURVIVAL RATE,Neoplastic disease,Head and Neck Cancer,1,445,0.2247
2-YEAR SURVIVAL RATE,Neoplastic disease,Hematologic Malignancies General,1,160,0.6250
2-YEAR SURVIVAL RATE,Disorder of skin,Hidradenitis Suppurativa,1,137,0.7299
2-YEAR SURVIVAL RATE,Disorder of endocrine system,Hypothyroidism,1,25,4.0000
