outcome_rank,outcome_category,outcome_normalized,trial_count,category_trial_count
1,Response Rates,OBJECTIVE RESPONSE RATE,6614,6611
2,Survival/Time-to-Event,OVERALL SURVIVAL,5877,5562
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,5594,5580
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,4330,4330
5,Pharmacokinetics,MAXIMUM PLASMA CONCENTRATION,3947,3943
6,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,3046,3046
7,Pharmacokinetics,TIME TO MAXIMUM CONCENTRATION,2658,2657
8,Response Rates,DURATION OF RESPONSE,2389,1573
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,1716,1716
10,Pharmacokinetics,AUC FROM 0 TO INFINITY,1574,1574
11,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN A1C,1485,1483
12,Vital Signs/Physical Measures,CHANGE IN BODY WEIGHT,1399,1377
13,Pharmacokinetics,AREA UNDER THE CONCENTRATION-TIME CURVE,1386,1378
14,Disease Control,DISEASE CONTROL RATE,1090,1089
15,Pharmacokinetics,PLASMA DRUG CONCENTRATION,1087,1083
16,Quality of Life/PRO,CHANGE IN QUALITY OF LIFE SCORE,1082,1082
17,Symptoms/Pain,CHANGE IN VAS PAIN SCORE,1081,1080
18,Quality of Life/PRO,PATIENT SATISFACTION,1045,1044
19,Dose-Finding,MAXIMUM TOLERATED DOSE,940,756
20,Symptoms/Pain,CHANGE IN PAIN SCORE,938,930
21,Survival/Time-to-Event,TIME TO PROGRESSION,913,908
22,Mortality,ALL-CAUSE MORTALITY,895,893
23,Response Rates,PERCENTAGE OF PARTICIPANTS ACHIEVING TARGET,887,454
24,Vital Signs/Physical Measures,CHANGE IN BLOOD PRESSURE,860,857
25,Pharmacokinetics,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,835,835
26,Biomarkers/Lab Values,CHANGE IN FASTING PLASMA GLUCOSE,759,759
27,Adverse Events/Safety,NUMBER OF ADVERSE EVENTS,754,754
28,Quality of Life/PRO,CHANGE IN SF-36 SCORE,735,731
29,Response Rates,COMPLETE RESPONSE RATE,689,689
30,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,674,674
31,Vital Signs/Physical Measures,CHANGE IN HEART RATE,670,668
32,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN,659,657
33,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH ADVERSE EVENTS,626,626
34,Immunogenicity,SEROCONVERSION RATE,606,604
35,Pharmacokinetics,VOLUME OF DISTRIBUTION,592,590
36,Response Rates,CLINICAL BENEFIT RATE,590,428
37,Quality of Life/PRO,CHANGE IN EQ-5D SCORE,570,570
38,Hospitalization/Healthcare Use,LENGTH OF HOSPITAL STAY,564,564
39,Vital Signs/Physical Measures,CHANGE IN BODY MASS INDEX,552,532
40,Quality of Life/PRO,PATIENT GLOBAL IMPRESSION OF CHANGE,546,487
41,Symptoms/Pain,CHANGE IN NRS PAIN SCORE,545,545
42,Response Rates,SUSTAINED VIROLOGIC RESPONSE,510,305
43,Adverse Events/Safety,DOSE-LIMITING TOXICITIES,505,505
44,Biomarkers/Lab Values,CHANGE IN LDL CHOLESTEROL,495,495
45,Survival/Time-to-Event,EVENT-FREE SURVIVAL,495,495
46,Immunogenicity,SEROPROTECTION RATE,491,490
