outcome_normalized,phase,outcome_trial_count,phase_trial_count,percentage
1-YEAR SURVIVAL RATE,Phase 1,1,5382,0.0186
1-YEAR SURVIVAL RATE,Phase 2,70,17715,0.3951
1-YEAR SURVIVAL RATE,Phase 3,24,12737,0.1884
1-YEAR SURVIVAL RATE,Phase 4,5,7428,0.0673
2-YEAR SURVIVAL RATE,Phase 1,2,5382,0.0372
2-YEAR SURVIVAL RATE,Phase 2,20,17715,0.1129
2-YEAR SURVIVAL RATE,Phase 3,8,12737,0.0628
2-YEAR SURVIVAL RATE,Phase 4,3,7428,0.0404
28-DAY MORTALITY,Phase 1,2,5382,0.0372
28-DAY MORTALITY,Phase 2,18,17715,0.1016
28-DAY MORTALITY,Phase 3,10,12737,0.0785
28-DAY MORTALITY,Phase 4,5,7428,0.0673
30-DAY MORTALITY,Phase 1,3,5382,0.0557
30-DAY MORTALITY,Phase 2,35,17715,0.1976
30-DAY MORTALITY,Phase 3,33,12737,0.2591
30-DAY MORTALITY,Phase 4,20,7428,0.2693
6-MINUTE WALK DISTANCE,Phase 1,3,5382,0.0557
6-MINUTE WALK DISTANCE,Phase 2,31,17715,0.1750
6-MINUTE WALK DISTANCE,Phase 3,16,12737,0.1256
6-MINUTE WALK DISTANCE,Phase 4,12,7428,0.1616
6-MONTH PROGRESSION-FREE SURVIVAL,Phase 2,42,17715,0.2371
6-MONTH PROGRESSION-FREE SURVIVAL,Phase 3,1,12737,0.0079
90-DAY MORTALITY,Phase 2,17,17715,0.0960
90-DAY MORTALITY,Phase 3,18,12737,0.1413
90-DAY MORTALITY,Phase 4,4,7428,0.0539
ABSOLUTE CHANGE IN CFQ-R RESPIRATORY DOMAIN SCORE,Phase 2,9,17715,0.0508
ABSOLUTE CHANGE IN CFQ-R RESPIRATORY DOMAIN SCORE,Phase 3,31,12737,0.2434
ABSOLUTE CHANGE IN CFQ-R RESPIRATORY DOMAIN SCORE,Phase 4,1,7428,0.0135
ACCUMULATION RATIO,Phase 1,170,5382,3.1587
ACCUMULATION RATIO,Phase 2,60,17715,0.3387
ACCUMULATION RATIO,Phase 3,6,12737,0.0471
ACCUMULATION RATIO,Phase 4,1,7428,0.0135
ACR20 RESPONSE,Phase 1,7,5382,0.1301
ACR20 RESPONSE,Phase 2,134,17715,0.7564
ACR20 RESPONSE,Phase 3,195,12737,1.5310
ACR20 RESPONSE,Phase 4,26,7428,0.3500
ACR50 RESPONSE,Phase 1,2,5382,0.0372
ACR50 RESPONSE,Phase 2,105,17715,0.5927
ACR50 RESPONSE,Phase 3,146,12737,1.1463
ACR50 RESPONSE,Phase 4,24,7428,0.3231
ACR70 RESPONSE,Phase 1,4,5382,0.0743
ACR70 RESPONSE,Phase 2,94,17715,0.5306
ACR70 RESPONSE,Phase 3,122,12737,0.9578
ACR70 RESPONSE,Phase 4,20,7428,0.2693
ACTIVITIES OF DAILY LIVING,Phase 2,8,17715,0.0452
ACTIVITIES OF DAILY LIVING,Phase 3,4,12737,0.0314
ACTIVITIES OF DAILY LIVING,Phase 4,1,7428,0.0135
ADVERSE EVENTS LEADING TO DISCONTINUATION,Phase 1,5,5382,0.0929
ADVERSE EVENTS LEADING TO DISCONTINUATION,Phase 2,34,17715,0.1919
ADVERSE EVENTS LEADING TO DISCONTINUATION,Phase 3,25,12737,0.1963
ADVERSE EVENTS LEADING TO DISCONTINUATION,Phase 4,6,7428,0.0808
ALL COLLECTED DEATHS,Phase 2,33,17715,0.1863
ALL COLLECTED DEATHS,Phase 3,39,12737,0.3062
ALL COLLECTED DEATHS,Phase 4,2,7428,0.0269
ALL-CAUSE MORTALITY,Phase 1,5,5382,0.0929
ALL-CAUSE MORTALITY,Phase 2,158,17715,0.8919
ALL-CAUSE MORTALITY,Phase 3,271,12737,2.1277
ALL-CAUSE MORTALITY,Phase 4,76,7428,1.0232
ANNUAL EXACERBATION RATE,Phase 2,13,17715,0.0734
ANNUAL EXACERBATION RATE,Phase 3,44,12737,0.3455
ANNUAL EXACERBATION RATE,Phase 4,10,7428,0.1346
ANNUALIZED BLEEDING RATE,Phase 2,3,17715,0.0169
ANNUALIZED BLEEDING RATE,Phase 3,27,12737,0.2120
ANNUALIZED BLEEDING RATE,Phase 4,8,7428,0.1077
ANNUALIZED RELAPSE RATE,Phase 2,22,17715,0.1242
ANNUALIZED RELAPSE RATE,Phase 3,42,12737,0.3297
ANNUALIZED RELAPSE RATE,Phase 4,5,7428,0.0673
ANTI-DRUG ANTIBODIES,Phase 1,74,5382,1.3750
ANTI-DRUG ANTIBODIES,Phase 2,103,17715,0.5814
ANTI-DRUG ANTIBODIES,Phase 3,174,12737,1.3661
ANTI-DRUG ANTIBODIES,Phase 4,13,7428,0.1750
ANTIBODY TITER,Phase 1,22,5382,0.4088
ANTIBODY TITER,Phase 2,97,17715,0.5476
ANTIBODY TITER,Phase 3,120,12737,0.9421
ANTIBODY TITER,Phase 4,21,7428,0.2827
ANXIETY SCORE,Phase 2,4,17715,0.0226
ANXIETY SCORE,Phase 3,2,12737,0.0157
ANXIETY SCORE,Phase 4,4,7428,0.0539
APNEA-HYPOPNEA INDEX,Phase 1,2,5382,0.0372
APNEA-HYPOPNEA INDEX,Phase 2,5,17715,0.0282
APNEA-HYPOPNEA INDEX,Phase 3,2,12737,0.0157
APNEA-HYPOPNEA INDEX,Phase 4,1,7428,0.0135
APPARENT CLEARANCE,Phase 1,99,5382,1.8395
APPARENT CLEARANCE,Phase 2,22,17715,0.1242
APPARENT CLEARANCE,Phase 3,9,12737,0.0707
APPARENT CLEARANCE,Phase 4,1,7428,0.0135
APPARENT CLEARANCE (CL/F),Phase 1,47,5382,0.8733
APPARENT CLEARANCE (CL/F),Phase 2,16,17715,0.0903
APPARENT CLEARANCE (CL/F),Phase 3,11,12737,0.0864
APPARENT CLEARANCE (CL/F),Phase 4,1,7428,0.0135
APPARENT ORAL CLEARANCE,Phase 1,77,5382,1.4307
APPARENT ORAL CLEARANCE,Phase 2,16,17715,0.0903
APPARENT ORAL CLEARANCE,Phase 3,8,12737,0.0628
APPARENT ORAL CLEARANCE,Phase 4,3,7428,0.0404
APPARENT TERMINAL ELIMINATION HALF-LIFE,Phase 1,47,5382,0.8733
APPARENT TERMINAL ELIMINATION HALF-LIFE,Phase 2,6,17715,0.0339
APPARENT TERMINAL ELIMINATION HALF-LIFE,Phase 3,2,12737,0.0157
APPARENT TERMINAL ELIMINATION HALF-LIFE,Phase 4,3,7428,0.0404
APPARENT TERMINAL HALF-LIFE,Phase 1,108,5382,2.0067
APPARENT TERMINAL HALF-LIFE,Phase 2,12,17715,0.0677
APPARENT TERMINAL HALF-LIFE,Phase 3,1,12737,0.0079
APPARENT TOTAL BODY CLEARANCE,Phase 1,33,5382,0.6132
APPARENT TOTAL BODY CLEARANCE,Phase 2,8,17715,0.0452
APPARENT TOTAL BODY CLEARANCE,Phase 3,2,12737,0.0157
APPARENT TOTAL BODY CLEARANCE,Phase 4,2,7428,0.0269
APPARENT VOLUME OF DISTRIBUTION,Phase 1,314,5382,5.8343
APPARENT VOLUME OF DISTRIBUTION,Phase 2,77,17715,0.4347
APPARENT VOLUME OF DISTRIBUTION,Phase 3,22,12737,0.1727
APPARENT VOLUME OF DISTRIBUTION,Phase 4,7,7428,0.0942
APPARENT VOLUME OF DISTRIBUTION (VZ/F),Phase 1,34,5382,0.6317
APPARENT VOLUME OF DISTRIBUTION (VZ/F),Phase 2,6,17715,0.0339
APPARENT VOLUME OF DISTRIBUTION (VZ/F),Phase 4,2,7428,0.0269
AREA UNDER THE CONCENTRATION-TIME CURVE,Phase 1,818,5382,15.1988
AREA UNDER THE CONCENTRATION-TIME CURVE,Phase 2,232,17715,1.3096
AREA UNDER THE CONCENTRATION-TIME CURVE,Phase 3,76,12737,0.5967
AREA UNDER THE CONCENTRATION-TIME CURVE,Phase 4,41,7428,0.5520
AUC FROM 0 TO INFINITY,Phase 1,1196,5382,22.2222
AUC FROM 0 TO INFINITY,Phase 2,164,17715,0.9258
AUC FROM 0 TO INFINITY,Phase 3,56,12737,0.4397
AUC FROM 0 TO INFINITY,Phase 4,45,7428,0.6058
AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,Phase 1,546,5382,10.1449
AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,Phase 2,130,17715,0.7338
AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,Phase 3,29,12737,0.2277
AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,Phase 4,22,7428,0.2962
AUC(0-T),Phase 1,31,5382,0.5760
AUC(0-T),Phase 2,8,17715,0.0452
AUC(0-T),Phase 3,2,12737,0.0157
AUC0-LAST,Phase 1,46,5382,0.8547
AUC0-LAST,Phase 2,12,17715,0.0677
AUC0-LAST,Phase 3,2,12737,0.0157
AUC0-LAST,Phase 4,3,7428,0.0404
AUC0-TZ,Phase 1,48,5382,0.8919
AUC0-TZ,Phase 2,3,17715,0.0169
AUC0-TZ,Phase 3,1,12737,0.0079
AUC0-TZ,Phase 4,1,7428,0.0135
AUCINF,Phase 1,41,5382,0.7618
AUCINF,Phase 2,8,17715,0.0452
AUCINF,Phase 3,3,12737,0.0236
AUCTAU,Phase 1,54,5382,1.0033
AUCTAU,Phase 2,21,17715,0.1185
AUCTAU,Phase 3,4,12737,0.0314
AUCTAU,Phase 4,6,7428,0.0808
AUC∞,Phase 1,77,5382,1.4307
AUC∞,Phase 2,1,17715,0.0056
AVERAGE PAIN SCORE,Phase 2,7,17715,0.0395
AVERAGE PAIN SCORE,Phase 3,15,12737,0.1178
AVERAGE PAIN SCORE,Phase 4,9,7428,0.1212
AVERAGE PLASMA CONCENTRATION,Phase 1,18,5382,0.3344
AVERAGE PLASMA CONCENTRATION,Phase 2,15,17715,0.0847
AVERAGE PLASMA CONCENTRATION,Phase 4,3,7428,0.0404
BECK DEPRESSION INVENTORY SCORE,Phase 2,10,17715,0.0564
BECK DEPRESSION INVENTORY SCORE,Phase 3,2,12737,0.0157
BECK DEPRESSION INVENTORY SCORE,Phase 4,4,7428,0.0539
BEST OVERALL RESPONSE RATE,Phase 1,16,5382,0.2973
BEST OVERALL RESPONSE RATE,Phase 2,80,17715,0.4516
BEST OVERALL RESPONSE RATE,Phase 3,22,12737,0.1727
BODY MASS INDEX,Phase 1,2,5382,0.0372
BODY MASS INDEX,Phase 2,7,17715,0.0395
BODY MASS INDEX,Phase 3,5,12737,0.0393
BODY MASS INDEX,Phase 4,8,7428,0.1077
CARDIOVASCULAR MORTALITY,Phase 2,8,17715,0.0452
CARDIOVASCULAR MORTALITY,Phase 3,53,12737,0.4161
CARDIOVASCULAR MORTALITY,Phase 4,13,7428,0.1750
CHANGE FROM BASELINE IN BCVA,Phase 2,13,17715,0.0734
CHANGE FROM BASELINE IN BCVA,Phase 3,23,12737,0.1806
CHANGE FROM BASELINE IN BCVA,Phase 4,1,7428,0.0135
CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,Phase 1,1,5382,0.0186
CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,Phase 2,23,17715,0.1298
CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,Phase 3,14,12737,0.1099
CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,Phase 4,4,7428,0.0539
CHANGE FROM BASELINE IN BLOOD PRESSURE,Phase 1,30,5382,0.5574
CHANGE FROM BASELINE IN BLOOD PRESSURE,Phase 2,47,17715,0.2653
CHANGE FROM BASELINE IN BLOOD PRESSURE,Phase 3,46,12737,0.3612
CHANGE FROM BASELINE IN BLOOD PRESSURE,Phase 4,13,7428,0.1750
CHANGE FROM BASELINE IN BODY TEMPERATURE,Phase 1,20,5382,0.3716
CHANGE FROM BASELINE IN BODY TEMPERATURE,Phase 2,14,17715,0.0790
CHANGE FROM BASELINE IN BODY TEMPERATURE,Phase 3,12,12737,0.0942
CHANGE FROM BASELINE IN BODY TEMPERATURE,Phase 4,3,7428,0.0404
CHANGE FROM BASELINE IN BODY WEIGHT,Phase 1,3,5382,0.0557
CHANGE FROM BASELINE IN BODY WEIGHT,Phase 2,16,17715,0.0903
CHANGE FROM BASELINE IN BODY WEIGHT,Phase 3,22,12737,0.1727
CHANGE FROM BASELINE IN CGI-S SCORE,Phase 2,31,17715,0.1750
CHANGE FROM BASELINE IN CGI-S SCORE,Phase 3,53,12737,0.4161
CHANGE FROM BASELINE IN CGI-S SCORE,Phase 4,12,7428,0.1616
CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,Phase 1,19,5382,0.3530
CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,Phase 2,19,17715,0.1073
CHANGE FROM BASELINE IN CLINICAL CHEMISTRY PARAMETERS,Phase 3,16,12737,0.1256
CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,Phase 1,14,5382,0.2601
CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,Phase 2,18,17715,0.1016
CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,Phase 3,30,12737,0.2355
CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,Phase 4,8,7428,0.1077
CHANGE FROM BASELINE IN ECG PARAMETERS,Phase 1,20,5382,0.3716
CHANGE FROM BASELINE IN ECG PARAMETERS,Phase 2,21,17715,0.1185
CHANGE FROM BASELINE IN ECG PARAMETERS,Phase 3,20,12737,0.1570
