outcome_rank,outcome_category,outcome_normalized,start_year,trial_count
1,Response Rates,OBJECTIVE RESPONSE RATE,1966,1
169,Mortality,CARDIOVASCULAR MORTALITY,1982,1
266,Mortality,NUMBER OF PARTICIPANTS WHO DIED,1985,1
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,1986,1
11,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN A1C,1988,1
44,Biomarkers/Lab Values,CHANGE IN LDL CHOLESTEROL,1988,1
54,Biomarkers/Lab Values,CHANGE IN TRIGLYCERIDES,1988,1
56,Biomarkers/Lab Values,CHANGE IN TOTAL CHOLESTEROL,1988,1
58,Biomarkers/Lab Values,CHANGE IN HDL CHOLESTEROL,1988,1
258,Biomarkers/Lab Values,CHANGE IN FASTING GLUCOSE,1988,1
11,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN A1C,1989,1
258,Biomarkers/Lab Values,CHANGE IN FASTING GLUCOSE,1989,1
475,Functional Status,ACTIVITIES OF DAILY LIVING,1989,1
1,Response Rates,OBJECTIVE RESPONSE RATE,1990,1
2,Survival/Time-to-Event,OVERALL SURVIVAL,1990,2
8,Response Rates,DURATION OF RESPONSE,1990,1
13,Pharmacokinetics,AREA UNDER THE CONCENTRATION-TIME CURVE,1990,1
19,Dose-Finding,MAXIMUM TOLERATED DOSE,1990,1
21,Survival/Time-to-Event,TIME TO PROGRESSION,1990,1
22,Mortality,ALL-CAUSE MORTALITY,1990,1
59,Pharmacokinetics,HALF-LIFE,1990,1
62,Pharmacokinetics,CLEARANCE,1990,1
95,Remission/Cure,COMPLETE REMISSION,1990,1
168,Survival/Time-to-Event,TIME TO NEXT TREATMENT,1990,2
184,Pharmacokinetics,VOLUME OF DISTRIBUTION AT STEADY STATE,1990,1
445,Response Rates,CONFIRMED RESPONSE RATE,1990,1
29,Response Rates,COMPLETE RESPONSE RATE,1991,1
149,Survival/Time-to-Event,1-YEAR SURVIVAL RATE,1991,1
396,Survival/Time-to-Event,2-YEAR SURVIVAL RATE,1991,1
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,1992,1
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,1992,1
152,Biomarkers/Lab Values,CHANGE IN BILIRUBIN,1992,1
1,Response Rates,OBJECTIVE RESPONSE RATE,1993,1
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,1993,1
