rank,semantic_pattern,n_distinct_titles,n_endpoint_records,pct_distinct_titles,pct_endpoint_records
1,object_only,67045,94360,17.180981,20.166573
2,object+measurement_operator,46960,60734,12.033990,12.980041
3,object+measurement_operator+participant_population,43672,57500,11.191406,12.288872
4,object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit,23921,25840,6.130006,5.522512
5,object+temporal_expression+measurement_operator,16175,19192,4.145013,4.101705
6,object+temporal_expression+measurement_operator+explicit_unit+participant_population,17453,18528,4.472514,3.959795
7,object+temporal_expression+measurement_operator+explicit_unit,16343,17275,4.188064,3.692005
8,object+measurement_operator+baseline_or_comparator,13712,16891,3.513843,3.609936
9,object+temporal_expression+explicit_unit,13117,14279,3.361368,3.051701
10,object+instrument_or_scale,10822,13531,2.773251,2.891839
11,object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+explicit_unit,12653,13421,3.242463,2.868330
12,object+temporal_expression+measurement_operator+participant_population,12040,13142,3.085376,2.808702
13,object+measurement_operator+instrument_or_scale,11134,12381,2.853204,2.646061
14,object+temporal_expression,10246,10741,2.625644,2.295561
15,object+measurement_operator+baseline_or_comparator+instrument_or_scale,6586,7318,1.687731,1.563999
16,object+participant_population,5727,6447,1.467604,1.377850
17,object+temporal_expression+measurement_operator+baseline_or_comparator,4870,5155,1.247988,1.101724
18,object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,4143,4303,1.061687,0.919635
19,object+measurement_operator+instrument_or_scale+participant_population,3376,3560,0.865135,0.760841
20,object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit,3326,3497,0.852322,0.747377
21,object+measurement_operator+baseline_or_comparator+participant_population,3118,3446,0.799020,0.736477
22,object+temporal_expression+measurement_operator+instrument_or_scale,3148,3255,0.806708,0.695657
23,object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit+participant_population,2961,3122,0.758787,0.667232
24,object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+explicit_unit+participant_population,2740,2947,0.702154,0.629831
25,object+baseline_or_comparator,2237,2419,0.573255,0.516987
26,object+temporal_expression+instrument_or_scale,2255,2374,0.577867,0.507370
27,object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale,2240,2361,0.574023,0.504592
28,object+temporal_expression+baseline_or_comparator+explicit_unit,2013,2056,0.515852,0.439407
29,object+measurement_operator+explicit_unit,1820,1980,0.466394,0.423165
30,object+measurement_operator+explicit_unit+participant_population,1775,1927,0.454862,0.411837
31,object+temporal_expression+measurement_operator+baseline_or_comparator+participant_population,1754,1837,0.449481,0.392603
32,object+explicit_unit,1689,1818,0.432824,0.388542
33,object+temporal_expression+measurement_operator+instrument_or_scale+participant_population,1704,1778,0.436668,0.379993
34,object+instrument_or_scale+participant_population,1503,1733,0.385159,0.370376
35,object+temporal_expression+explicit_unit+participant_population,1665,1723,0.426674,0.368239
36,object+temporal_expression+participant_population,1533,1588,0.392847,0.339387
37,object+temporal_expression+instrument_or_scale+explicit_unit,1478,1563,0.378753,0.334044
38,object+temporal_expression+baseline_or_comparator,1142,1206,0.292649,0.257746
39,object+measurement_operator+baseline_or_comparator+instrument_or_scale+participant_population,837,888,0.214490,0.189783
40,object+measurement_operator+composite_or_multiple_objects+participant_population,663,732,0.169901,0.156443
41,object+measurement_operator+baseline_or_comparator+explicit_unit,564,620,0.144531,0.132506
42,object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+participant_population,579,611,0.148375,0.130583
43,object+composite_or_multiple_objects,586,606,0.150169,0.129514
44,object+temporal_expression+instrument_or_scale+participant_population,558,580,0.142993,0.123957
45,object+temporal_expression+instrument_or_scale+explicit_unit+participant_population,415,421,0.106348,0.089976
46,object+temporal_expression+baseline_or_comparator+instrument_or_scale+explicit_unit,396,410,0.101479,0.087625
47,object+measurement_operator+composite_or_multiple_objects,372,385,0.095329,0.082282
48,object+baseline_or_comparator+participant_population,362,369,0.092766,0.078862
49,object+baseline_or_comparator+instrument_or_scale,335,356,0.085847,0.076084
50,object+temporal_expression+baseline_or_comparator+instrument_or_scale,331,335,0.084822,0.071596
51,object+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,315,332,0.080722,0.070955
52,object+measurement_operator+instrument_or_scale+composite_or_multiple_objects,305,316,0.078159,0.067535
53,object+temporal_expression+measurement_operator+composite_or_multiple_objects+participant_population,220,304,0.056377,0.064971
54,object+explicit_unit+participant_population,259,270,0.066371,0.057704
55,object+temporal_expression+baseline_or_comparator+explicit_unit+participant_population,249,253,0.063809,0.054071
56,object+temporal_expression+baseline_or_comparator+participant_population,217,225,0.055609,0.048087
57,object+temporal_expression+measurement_operator+explicit_unit+composite_or_multiple_objects+participant_population,217,225,0.055609,0.048087
58,object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+explicit_unit+composite_or_multiple_objects,216,222,0.055352,0.047446
59,object+measurement_operator+instrument_or_scale+explicit_unit+participant_population,154,165,0.039464,0.035264
60,object+measurement_operator+baseline_or_comparator+instrument_or_scale+composite_or_multiple_objects,121,126,0.031008,0.026929
61,object+baseline_or_comparator+explicit_unit,114,114,0.029214,0.024364
