term,prompt,EXPLANATION,GROUP
concentration,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: concentration

Similar terms for context:
concentration (1.00), concentration level (0.93), rantes concentration (0.92), ability to concentrate (0.92), concentration levels (0.92)

Standardized groups:
Time to Progression (TTP) (0.29), Overall Survival (OS) (0.27), Overall/Objective Response Rate (ORR/OR) (0.26), Forced Expiratory Volume in One Second (FEV1) (0.26), Progression-free Survival (PFS) (0.26)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]","No existing group matches measuring concentration levels, so a new group is needed.",Concentration
adverse events,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: adverse events

Similar terms for context:
adverse events (1.00), adverse event(s) (0.99), adverse event occurences (0.99), adverse event (0.98), occurrence of adverse events (0.97)

Standardized groups:
Adverse Events (AEs) (0.56), Serious Adverse Events (SAEs) (0.53), Overall Survival (OS) (0.26), Progression-free Survival (PFS) (0.24), Time to Progression (TTP) (0.24)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Directly corresponds to measuring adverse events.,Adverse Events (AEs)
pain,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: pain

Similar terms for context:
pain (1.00), pain/discomfort (0.96), pain sensation (0.95), painful (0.95), pain burden (0.95)

Standardized groups:
Adverse Events (AEs) (0.29), Serious Adverse Events (SAEs) (0.28), Time to Progression (TTP) (0.27), Progression-free Survival (PFS) (0.26), Overall Survival (OS) (0.23)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]","Refers to measuring pain, not covered by provided groups.",Pain
plasma concentration,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: plasma concentration

Similar terms for context:
plasma concentration (1.00), plasma-concentration (1.00), concentration in plasma (0.99), plasma concentrations (0.99), blood plasma concentration (0.96)

Standardized groups:
Progression-free Survival (PFS) (0.29), Time to Progression (TTP) (0.29), Forced Expiratory Volume in One Second (FEV1) (0.28), Overall/Objective Response Rate (ORR/OR) (0.27), Overall Survival (OS) (0.25)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Specifically about concentration in plasma.,Concentration
response,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: response

Similar terms for context:
response (1.00), on response (0.97), responses (0.97), recist response (0.96), responding (0.96)

Standardized groups:
Overall/Objective Response Rate (ORR/OR) (0.37), Time to Progression (TTP) (0.26), Progression-free Survival (PFS) (0.25), Adverse Events (AEs) (0.25), Overall Survival (OS) (0.25)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]","Indicates treatment response, not limited to objective response rate.",Clinical Response
quality of life,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: quality of life

Similar terms for context:
quality of life (1.00), quality-of-life (1.00), life quality (0.99), quality of life (qol) (0.97), quality of life status (0.96)

Standardized groups:
Overall Survival (OS) (0.33), Progression-free Survival (PFS) (0.29), Time to Progression (TTP) (0.28), Overall/Objective Response Rate (ORR/OR) (0.25), Forced Expiratory Volume in One Second (FEV1) (0.24)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Refers to patients’ quality of life.,QOL
auc,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: auc

Similar terms for context:
auc (1.00), auc-t (0.97), auc (aucext) (0.96), aucτ (0.96), auc/d (0.95)

Standardized groups:
Adverse Events (AEs) (0.32), Overall Survival (OS) (0.31), Overall/Objective Response Rate (ORR/OR) (0.31), Time to Progression (TTP) (0.30), Progression-free Survival (PFS) (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",A pharmacokinetic measure (total exposure over time).,Concentration
cmax,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: cmax

Similar terms for context:
cmax (1.00), cmaxu (0.97), c-max (0.97), cmax;ss (0.97), cmax_ss (0.96)

Standardized groups:
Overall Survival (OS) (0.26), Overall/Objective Response Rate (ORR/OR) (0.25), Time to Progression (TTP) (0.25), Forced Expiratory Volume in One Second (FEV1) (0.25), Progression-free Survival (PFS) (0.24)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Represents maximum drug concentration.,Concentration
incidence,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: incidence

Similar terms for context:
incidence (1.00), incidences (0.95), event incidence (0.93), incidence rate (0.93), incidence rates (0.92)

Standardized groups:
Adverse Events (AEs) (0.35), Serious Adverse Events (SAEs) (0.35), Time to Progression (TTP) (0.29), Overall Survival (OS) (0.29), Overall/Objective Response Rate (ORR/OR) (0.28)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures frequency of events.,Event Occurrence
systolic blood pressure,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: systolic blood pressure

Similar terms for context:
systolic blood pressure (1.00), systolic blood pressures (1.00), blood pressure - systolic (0.99), blood pressure (systolic) (0.99), systolic bp (0.99)

Standardized groups:
Forced Expiratory Volume in One Second (FEV1) (0.33), Overall Survival (OS) (0.28), Time to Progression (TTP) (0.27), Overall/Objective Response Rate (ORR/OR) (0.27), Progression-free Survival (PFS) (0.26)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures systolic blood pressure.,Blood Pressure
